지역,온도,습도
강릉,37.5,45
강진군,35.8,52
강화,31.0,67
거제,33.3,56
거창,33.8,56
경주시,34.2,60
고산,30.3,74
고창,34.7,59
고창군,34.7,53
고흥,33.5,57
광양시,36.1,52
광주,34.9,57
구미,35.4,52
군산,33.3,64
금산,34.0,55
김해시,33.9,67
남원,34.9,53
남해,33.8,58
대관령,30.5,59
대구,36.4,44
대전,35.2,50
동두천,32.9,66
동해,29.8,70
목포,34.1,63
문경,34.4,54
밀양,36.7,41
백령도,28.4,81
보령,32.5,59
보성군,34.5,59
보은,34.2,53
봉화,32.6,52
부산,32.7,60
부안,33.3,61
부여,34.5,55
북강릉,33.6,49
북부산,34.4,55
북창원,32.6,70
북춘천,34.7,48
산청,35.8,55
상주,35.2,57
서귀포,31.9,69
서산,33.0,55
서울,34.4,55
서청주,33.6,58
성산,31.4,77
세종,33.0,56
속초,34.1,53
수원,33.6,54
순창군,35.6,50
순천,34.7,55
안동,34.6,59
양산시,35.1,58
양평,34.1,50
여수,33.0,59
영광군,33.5,62
영덕,32.0,62
영월,34.5,46
영주,34.5,51
영천,34.9,49
완도,33.1,61
울릉도,31.8,73
울산,32.7,61
울진,27.0,78
원주,33.6,47
의령군,37.5,49
의성,35.8,50
이천,34.7,57
인제,34.0,44
인천,32.4,63
임실,34.2,58
장수,32.2,61
장흥,33.4,60
전주,34.2,57
정선군,36.4,44
정읍,34.1,57
제주,32.6,63
제천,33.4,54
진도군,33.6,60
진주,35.9,53
창원,32.7,66
천안,33.5,58
철원,32.6,57
청송군,34.9,44
청주,35.2,51
추풍령,32.2,63
춘천,34.7,47
충주,33.7,58
태백,31.5,59
통영,32.8,62
파주,32.5,69
포항,34.2,55
함양군,36.3,54
합천,35.8,47
해남,33.6,60
홍성,32.7,66
홍천,35.3,48
흑산도,30.0,69
